fold,model,test_questions,test_conditions,accuracy,auroc,auprc,brier,emvr,trajectory_violation_rate
1,bce_only,6,30,0.5333333333333333,0.5132275132275133,0.7974539299910519,0.2997249364852905,0.375,0.8333333333333334
1,bce_plus_order,6,30,0.5333333333333333,0.4973544973544973,0.7887004285904915,0.2999993562698364,0.2916666666666667,0.8333333333333334
2,bce_only,5,25,0.84,0.976190476190476,0.9920634920634921,0.12662801146507263,0.3,0.6
2,bce_plus_order,5,25,0.84,0.976190476190476,0.9920634920634921,0.12785232067108154,0.25,0.6
3,bce_only,5,25,0.64,0.8095238095238095,0.9603749982992527,0.17250031232833862,0.25,0.6
3,bce_plus_order,5,25,0.6,0.8095238095238095,0.9603749982992527,0.17467477917671204,0.25,0.8
4,bce_only,5,25,0.8,0.8809523809523809,0.9772206254389977,0.1577668935060501,0.3,1.0
4,bce_plus_order,5,25,0.76,0.8214285714285714,0.9673973541985965,0.16199584305286407,0.3,1.0
5,bce_only,5,25,0.68,0.8695652173913043,0.9891178323881538,0.22184868156909943,0.3,0.8
5,bce_plus_order,5,25,0.6,0.9347826086956521,0.9946313799621928,0.23433032631874084,0.3,0.8
