question_id,category,critical_adjacent_violations,irrelevant_adjacent_violations,critical_minus_irrelevant_adjacent_violations,critical_correctness_loss,irrelevant_correctness_loss,critical_minus_irrelevant_accuracy_drop,critical_confidence_change,irrelevant_confidence_change,critical_minus_irrelevant_confidence_change,critical_entropy_change,irrelevant_entropy_change,critical_minus_irrelevant_entropy_change
00255101,color,0,2,-2,1,0,1,-1.3649237751960754,-0.0076469555497169495,-1.3572768196463585,1.8094288110733032,-0.024342268705368042,1.8337710797786713
00324617,color,2,3,-1,0,0,0,-0.2650997726401935,0.03329100882789737,-0.2983907814680909,1.0392258539795876,0.0022800943503776816,1.03694575962921
00362278,identity,1,2,-1,0,0,0,-0.27025937754660845,0.0007297070696949959,-0.27098908461630344,0.9657205790281296,-0.00598570704460144,0.971706286072731
00416722,identity,1,2,-1,0,0,0,-1.784457391127944,-0.004323866218328476,-1.7801335249096155,3.637615516781807,0.022622719407081604,3.6149927973747253
00729416,material,3,2,1,1,0,1,-0.793139413872268,0.04044301883550361,-0.8335824327077717,1.732439385727048,-0.08198511227965355,1.8144244980067015
00866375,color,2,3,-1,0,0,0,-0.3698056936264038,0.031957030296325684,-0.4017627239227295,0.2683868408203125,-9.465217590332031e-05,0.2684814929962158
00935826,material,3,3,0,0,0,0,0.010872630402445793,0.0025173891335725784,0.008355241268873215,-0.08184464275836945,-0.015950679779052734,-0.06589396297931671
011021063,color,1,3,-2,0,0,0,-0.45371293276548386,0.035031262785196304,-0.48874419555068016,1.1132724831501641,-0.07189760108788812,1.1851700842380524
01125115,identity,2,1,1,1,0,1,0.30577062629163265,-0.08790534734725952,0.3936759736388922,-0.6215837299823761,0.01334613561630249,-0.6349298655986786
01178812,identity,2,2,0,0,0,0,0.013282239437103271,-0.2242978811264038,0.23758012056350708,-0.2793004512786865,0.14226365089416504,-0.42156410217285156
01179301,material,2,2,0,0,0,0,0.0001690443605184555,-0.0008764071390032768,0.0010454514995217323,-0.0024271681904792786,0.00519406795501709,-0.007621236145496368
01229011,shape,0,2,-2,0,0,0,-0.16134758293628693,0.028097085654735565,-0.1894446685910225,0.5068392753601074,-0.13453996181488037,0.6413792371749878
01275423,color,2,2,0,0,0,0,-0.15390938892960548,-0.010980531573295593,-0.1429288573563099,0.5164766311645508,0.03513792157173157,0.4813387095928192
01389513,shape,1,3,-2,0,0,0,-0.2967784106731415,0.0460565984249115,-0.342835009098053,0.11903560161590576,-0.09836769104003906,0.21740329265594482
01494763,color,1,2,-1,0,0,0,-0.9428441822528839,0.0052591413259506226,-0.9481033235788345,1.7729591727256775,-0.024757802486419678,1.7977169752120972
01582909,material,0,3,-3,0,0,0,-0.4673389233648777,0.0021734386682510376,-0.46951236203312874,0.6313177198171616,-0.010669536888599396,0.641987256705761
01671289,identity,1,1,0,0,0,0,-0.21315657102604746,-0.008160845405654982,-0.20499572562039248,0.702296765462961,0.013459451904054731,0.6888373135589063
01738786,identity,1,2,-1,0,0,0,-0.2624286273639882,0.030729771067854017,-0.2931583984318422,0.6682580034248531,-0.031059517990797758,0.6993175214156508
01775293,material,1,4,-3,1,0,1,0.026607602834701538,0.23930826783180237,-0.21270066499710083,0.0618816614151001,-0.39708423614501953,0.45896589756011963
01873723,color,0,2,-2,0,0,0,-0.1586013208143413,0.0004521394148468971,-0.1590534602291882,0.605756126344204,-0.0041594356298446655,0.6099155619740486
01945269,color,3,2,1,1,0,1,0.09984268993139267,-0.03901933133602142,0.1388620212674141,-0.15871655941009521,0.06292659044265747,-0.22164314985275269
01998367,color,3,2,1,0,0,0,0.33206816017627716,-0.009159564971923828,0.341227725148201,-0.673560619354248,-0.07418394088745117,-0.5993766784667969
021054250,color,2,1,1,1,0,1,0.3949541039764881,-0.13109317421913147,0.5260472781956196,-0.7085193991661072,0.05563545227050781,-0.764154851436615
02251016,color,3,1,2,0,0,0,0.44593900442123413,-0.06211137771606445,0.5080503821372986,-0.42756831645965576,0.0009267330169677734,-0.42849504947662354
02513848,identity,2,2,0,1,0,1,-0.6511934935066771,-9.186582853241499e-05,-0.6511016276781447,1.8038370970170945,7.230419820795572e-05,1.8037647928188865
02625059,identity,2,1,1,0,0,0,0.05910902097821236,-0.033435641787946224,0.09254466276615858,-0.1420385092496872,0.030419573187828064,-0.17245808243751526
02639683,identity,2,1,1,0,0,0,0.003944734111428261,0.0009487960487604141,0.0029959380626678467,-0.02606169506907463,-0.006770770996809006,-0.019290924072265625
02655551,color,2,1,1,1,0,1,-1.175567626953125,-0.13568338751792908,-1.039884239435196,1.4324101209640503,0.32171547412872314,1.1106946468353271
