fold,model,test_questions,test_conditions,accuracy,auroc,auprc,brier,emvr,trajectory_violation_rate
1,bce_only,36,180,0.5722222222222222,0.597718253968254,0.693928968322753,0.36938244104385376,0.3819444444444444,0.9444444444444444
1,bce_plus_order,36,180,0.55,0.5757688492063492,0.6918358860751725,0.36962607502937317,0.3611111111111111,0.8888888888888888
1,native_confidence,36,180,,0.7393353174603176,0.7907084726095932,,0.3819444444444444,0.8888888888888888
2,bce_only,35,175,0.7028571428571428,0.6888276947285601,0.6418970901641157,0.26669684052467346,0.4714285714285714,0.9142857142857143
2,bce_plus_order,35,175,0.7542857142857143,0.7445580907421978,0.6937785178771384,0.2175253927707672,0.42142857142857143,0.8857142857142857
2,native_confidence,35,175,,0.7841594544977708,0.8123422160091484,,0.4785714285714286,0.9142857142857143
3,bce_only,35,175,0.5542857142857143,0.5983673469387755,0.5459827448567433,0.39140939712524414,0.4857142857142857,0.9142857142857143
3,bce_plus_order,35,175,0.5314285714285715,0.5836054421768708,0.5221914361514556,0.39390459656715393,0.44285714285714284,0.9142857142857143
3,native_confidence,35,175,,0.6327891156462585,0.5155568617573163,,0.40714285714285714,0.9142857142857143
4,bce_only,35,175,0.5885714285714285,0.542796384901648,0.5710683620415502,0.3689841032028198,0.42857142857142855,0.8857142857142857
4,bce_plus_order,35,175,0.5828571428571429,0.5784821903242956,0.6043363195462912,0.36357876658439636,0.37142857142857144,0.8571428571428571
4,native_confidence,35,175,,0.7558479532163742,0.805768268791879,,0.42142857142857143,0.8571428571428571
5,bce_only,35,175,0.5714285714285714,0.5969093766369827,0.6181474539584022,0.36426958441734314,0.4785714285714286,0.8857142857142857
5,bce_plus_order,35,175,0.5942857142857143,0.6199580932425354,0.6380670056557163,0.3469822108745575,0.4142857142857143,0.8857142857142857
5,native_confidence,35,175,,0.5929806181246726,0.6306143806265037,,0.4142857142857143,0.8857142857142857
