fold,model,test_questions,test_conditions,accuracy,auroc,auprc,brier,emvr,trajectory_violation_rate
1,confidence_only,36,180,0.7666666666666667,0.8076200025065797,0.8472317367362041,0.24035975337028503,0.3819444444444444,0.8888888888888888
1,confidence_entropy,36,180,0.7666666666666667,0.8073693445293896,0.8504131173460181,0.23396973311901093,0.3819444444444444,0.8888888888888888
1,hidden_plus_signals,36,180,0.5722222222222222,0.6166186238877053,0.7481079333627157,0.248432919383049,0.2777777777777778,0.7777777777777778
2,confidence_only,35,175,0.7542857142857143,0.804313725490196,0.8359318969894316,0.23899461328983307,0.45714285714285713,0.9428571428571428
2,confidence_entropy,35,175,0.7428571428571429,0.797516339869281,0.8351317798206492,0.2326185405254364,0.4714285714285714,0.9428571428571428
2,hidden_plus_signals,35,175,0.68,0.7410457516339869,0.7647524466942819,0.20530718564987183,0.35714285714285715,0.8285714285714286
3,confidence_only,35,175,0.6228571428571429,0.6648555526106547,0.612227006616633,0.24293126165866852,0.4357142857142857,0.9714285714285714
3,confidence_entropy,35,175,0.6285714285714286,0.6591571693612511,0.617024725098934,0.2390618920326233,0.4142857142857143,0.9428571428571428
3,hidden_plus_signals,35,175,0.5657142857142857,0.615425390935595,0.5761173050041449,0.24450886249542236,0.35714285714285715,0.8285714285714286
4,confidence_only,35,175,0.7142857142857143,0.7746478873239437,0.8479639125503402,0.24077120423316956,0.44285714285714284,0.9142857142857143
4,confidence_entropy,35,175,0.7142857142857143,0.7917118093174431,0.8645803140471033,0.23409731686115265,0.4357142857142857,0.9142857142857143
4,hidden_plus_signals,35,175,0.6457142857142857,0.7292795232936079,0.7932616015716814,0.2047261744737625,0.3142857142857143,0.8285714285714286
5,confidence_only,35,175,0.7028571428571428,0.7554419092578022,0.7691465252996644,0.24213461577892303,0.4642857142857143,0.8857142857142857
5,confidence_entropy,35,175,0.7371428571428571,0.7511146079202728,0.767242607232274,0.23748528957366943,0.4357142857142857,0.8857142857142857
5,hidden_plus_signals,35,175,0.5885714285714285,0.6690270128507737,0.7361923675205453,0.23120509088039398,0.34285714285714286,0.8
